index,timestamp,user,service,message,year,month,day,hour,minute,second,microsecond,timezone
0,2024-08-04 10:10:27.387033+05:30,pranay,polkitd[1200]:,"Authentication Agent for unix-session:c1 (system bus name :1.44 [/usr/bin/gnome-shell], object path /org/freedesktop/PolicyKit1/AuthenticationAgent, locale en_US.UTF-8)",2024,8,4,10,10,27,387033,UTC+05:30
1,2024-08-04 10:14:07.371994+05:30,pranay,gdm-password]:,unable to locate daemon control file,2024,8,4,10,14,7,371994,UTC+05:30
2,2024-08-04 10:14:07.372421+05:30,pranay,gdm-password]:,stashed password to try later in open session,2024,8,4,10,14,7,372421,UTC+05:30
3,2024-08-04 10:14:07.451349+05:30,pranay,gdm-password]:,session opened for user pranay(uid=1000) by pranay(uid=0),2024,8,4,10,14,7,451349,UTC+05:30
4,2024-08-04 10:14:07.492425+05:30,pranay,systemd-logind[1225]:,session 2 of user pranay.,2024,8,4,10,14,7,492425,UTC+05:30
5,2024-08-04 10:14:07.573079+05:30,pranay,(systemd):,session opened for user pranay(uid=1000) by pranay(uid=0),2024,8,4,10,14,7,573079,UTC+05:30
6,2024-08-04 10:14:08.516065+05:30,pranay,gdm-password]:,unlocked login keyring,2024,8,4,10,14,8,516065,UTC+05:30
7,2024-08-04 10:14:14.956994+05:30,pranay,gnome-keyring-daemon[2588]:,Secret Service was already initialized,2024,8,4,10,14,14,956994,UTC+05:30
8,2024-08-04 10:14:14.958814+05:30,pranay,gnome-keyring-daemon[2909]:,1,2024,8,4,10,14,14,958814,UTC+05:30
9,2024-08-04 10:14:14.974687+05:30,pranay,gnome-keyring-daemon[2913]:,1,2024,8,4,10,14,14,974687,UTC+05:30
10,2024-08-04 10:14:14.976126+05:30,pranay,gnome-keyring-daemon[2588]:,PKCS#11 component was already initialized,2024,8,4,10,14,14,976126,UTC+05:30
11,2024-08-04 10:14:14.977434+05:30,pranay,gnome-keyring-daemon[2919]:,1,2024,8,4,10,14,14,977434,UTC+05:30
12,2024-08-04 10:14:20.886692+05:30,pranay,polkitd[1200]:,"Authentication Agent for unix-session:2 (system bus name :1.84 [/usr/bin/gnome-shell], object path /org/freedesktop/PolicyKit1/AuthenticationAgent, locale en_US.UTF-8)",2024,8,4,10,14,20,886692,UTC+05:30
13,2024-08-04 10:14:23.363034+05:30,pranay,polkitd[1200]:,"Authentication Agent for unix-session:c1 (system bus name :1.44, object path /org/freedesktop/PolicyKit1/AuthenticationAgent, locale en_US.UTF-8) (disconnected from bus)",2024,8,4,10,14,23,363034,UTC+05:30
14,2024-08-04 10:14:23.857059+05:30,pranay,gdm-launch-environment]:,session closed for user gdm,2024,8,4,10,14,23,857059,UTC+05:30
15,2024-08-04 10:14:23.873038+05:30,pranay,systemd-logind[1225]:,c1 logged out. Waiting for processes to exit.,2024,8,4,10,14,23,873038,UTC+05:30
16,2024-08-04 10:14:23.875213+05:30,pranay,systemd-logind[1225]:,session c1.,2024,8,4,10,14,23,875213,UTC+05:30
17,2024-08-04 10:14:34.130257+05:30,pranay,(sd-pam):,session closed for user gdm,2024,8,4,10,14,34,130257,UTC+05:30
18,2024-08-04 10:15:01.777560+05:30,pranay,CRON[4172]:,session opened for user root(uid=0) by root(uid=0),2024,8,4,10,15,1,777560,UTC+05:30
19,2024-08-04 10:15:01.813404+05:30,pranay,CRON[4172]:,session closed for user root,2024,8,4,10,15,1,813404,UTC+05:30
20,2024-08-04 10:17:01.826363+05:30,pranay,CRON[4707]:,session opened for user root(uid=0) by root(uid=0),2024,8,4,10,17,1,826363,UTC+05:30
21,2024-08-04 10:17:01.848420+05:30,pranay,CRON[4707]:,session closed for user root,2024,8,4,10,17,1,848420,UTC+05:30
22,2024-08-04 10:25:01.863816+05:30,pranay,CRON[5586]:,session opened for user root(uid=0) by root(uid=0),2024,8,4,10,25,1,863816,UTC+05:30
23,2024-08-04 10:25:01.873875+05:30,pranay,CRON[5586]:,session closed for user root,2024,8,4,10,25,1,873875,UTC+05:30
24,2024-08-04 10:30:01.892709+05:30,pranay,CRON[5799]:,session opened for user root(uid=0) by root(uid=0),2024,8,4,10,30,1,892709,UTC+05:30
25,2024-08-04 10:30:01.900115+05:30,pranay,CRON[5799]:,session closed for user root,2024,8,4,10,30,1,900115,UTC+05:30
26,2024-08-04 10:30:04.640769+05:30,pranay,systemd-logind[1225]:,system buttons on /dev/input/event17 (SIGMACHIP USB Keyboard Consumer Control),2024,8,4,10,30,4,640769,UTC+05:30
27,2024-08-04 10:30:04.651638+05:30,pranay,systemd-logind[1225]:,system buttons on /dev/input/event18 (SIGMACHIP USB Keyboard System Control),2024,8,4,10,30,4,651638,UTC+05:30
28,2024-08-04 10:30:04.651896+05:30,pranay,systemd-logind[1225]:,system buttons on /dev/input/event16 (SIGMACHIP USB Keyboard),2024,8,4,10,30,4,651896,UTC+05:30
29,2024-08-04 10:35:01.920287+05:30,pranay,CRON[6293]:,session opened for user root(uid=0) by root(uid=0),2024,8,4,10,35,1,920287,UTC+05:30
30,2024-08-04 10:35:01.930515+05:30,pranay,CRON[6293]:,session closed for user root,2024,8,4,10,35,1,930515,UTC+05:30
31,2024-08-04 10:45:01.947437+05:30,pranay,CRON[6478]:,session opened for user root(uid=0) by root(uid=0),2024,8,4,10,45,1,947437,UTC+05:30
32,2024-08-04 10:45:01.956515+05:30,pranay,CRON[6478]:,session closed for user root,2024,8,4,10,45,1,956515,UTC+05:30
33,2024-08-04 10:52:15.680010+05:30,pranay,systemd-logind[1225]:,system will power off now!,2024,8,4,10,52,15,680010,UTC+05:30
34,2024-08-04 10:52:15.805843+05:30,pranay,systemd-logind[1225]:,is powering down.,2024,8,4,10,52,15,805843,UTC+05:30
35,2024-08-04 10:52:16.016460+05:30,pranay,gdm-password]:,session closed for user pranay,2024,8,4,10,52,16,16460,UTC+05:30
36,2024-08-04 10:53:38.105623+05:30,pranay,polkitd[1187]:,rules from directory /etc/polkit-1/rules.d,2024,8,4,10,53,38,105623,UTC+05:30
37,2024-08-04 10:53:38.159650+05:30,pranay,polkitd[1187]:,rules from directory /usr/share/polkit-1/rules.d,2024,8,4,10,53,38,159650,UTC+05:30
38,2024-08-04 10:53:39.708378+05:30,pranay,polkitd[1187]:,"loading, compiling and executing 16 rules",2024,8,4,10,53,39,708378,UTC+05:30
39,2024-08-04 10:53:39.710098+05:30,pranay,polkitd[1187]:,the name org.freedesktop.PolicyKit1 on the system bus,2024,8,4,10,53,39,710098,UTC+05:30
40,2024-08-04 10:53:52.460971+05:30,pranay,gdm-launch-environment]:,session opened for user gdm(uid=120) by (uid=0),2024,8,4,10,53,52,460971,UTC+05:30
41,2024-08-04 10:53:52.689308+05:30,pranay,systemd-logind[1200]:,session c1 of user gdm.,2024,8,4,10,53,52,689308,UTC+05:30
42,2024-08-04 10:53:53.120823+05:30,pranay,(systemd):,session opened for user gdm(uid=120) by gdm(uid=0),2024,8,4,10,53,53,120823,UTC+05:30
43,2024-08-04 10:54:31.471713+05:30,pranay,polkitd[1187]:,"Authentication Agent for unix-session:c1 (system bus name :1.43 [/usr/bin/gnome-shell], object path /org/freedesktop/PolicyKit1/AuthenticationAgent, locale en_US.UTF-8)",2024,8,4,10,54,31,471713,UTC+05:30
44,2024-08-04 10:54:38.808426+05:30,pranay,gdm-password]:,unable to locate daemon control file,2024,8,4,10,54,38,808426,UTC+05:30
45,2024-08-04 10:54:38.808892+05:30,pranay,gdm-password]:,stashed password to try later in open session,2024,8,4,10,54,38,808892,UTC+05:30
46,2024-08-04 10:54:38.861535+05:30,pranay,gdm-password]:,session opened for user pranay(uid=1000) by pranay(uid=0),2024,8,4,10,54,38,861535,UTC+05:30
47,2024-08-04 10:54:38.904083+05:30,pranay,systemd-logind[1200]:,session 2 of user pranay.,2024,8,4,10,54,38,904083,UTC+05:30
